trade_date,idx,open,high,low,close,preclose,change,pctChg,volume,amount,turn,turn_f,pe,pe_ttm,pb,total_share,float_share,free_share,total_mv,float_mv
20140117.0,02399005,4917.784,4934.266,4865.985,4866.125,4931.816,-65.691,-1.332,2983736279.0,39344300206.200005,1.1,2.06,29.9,28.52,3.66,87494651868.0,72029089536.0,38399639932.0,1452083872249.0,1102789890744.0
20140117.0,02399006,1395.029,1411.547,1391.619,1395.509,1395.163,0.346,0.0248,1581038956.0,28223369829.5,2.28,3.14,71.49,62.8,6.18,33001640352.0,21028744910.0,15279989789.0,893248977741.0,541054310012.0
20140117.0,02399673,1376.6847,1398.2061,1376.6847,1383.0439,1377.3627,5.6812,0.4125,304759690.0,8903576864.199999,,,,,,,,,,
20140120.0,01000001,2001.894,2005.938,1984.824,1991.253,2004.949,-13.696,-0.6831,5627124700.0,48298781024.0,0.24,0.79,10.15,9.11,1.26,3245953196303.0,2364305966232.0,711168980331.0,17244536269221.0,12848466539362.0
20140120.0,01000020,803.771,807.162,796.959,801.433,804.946,-3.513,-0.4364,1136700800.0,11509409816.0,,,,,,,,,,
20140120.0,01000688,,,,,,,,,,,,,,,,,,,
20140120.0,01000852,4442.764,4462.48,4390.815,4415.096,4445.2,-30.104,-0.6772,4239400592.0,50648016538.0,,,,,,,,,,
20140120.0,01000905,3666.303,3680.01,3627.65,3644.125,3671.915,-27.79,-0.7568,2380574700.0,24791854467.0,0.7,1.22,30.13,27.33,2.22,417421400684.0,340832879616.0,195567906779.0,3500890770395.0,2734544351655.0
20140120.0,02399001,7526.697,7573.797,7477.785,7524.328,7544.565,-20.237,-0.2682,6843372117.0,86363302869.20001,0.59,0.92,15.21,13.78,2.02,144493524504.0,111976295010.0,72232642047.0,1699971399880.0,1233196080812.0
20140120.0,02399005,4856.845,4884.429,4781.96,4816.953,4866.125,-49.172,-1.0105,2967794509.0,39366555012.0,1.11,2.09,29.55,28.16,3.62,87494651868.0,72029089536.0,38399639932.0,1435079325755.0,1090862989764.0
20140120.0,02399006,1393.876,1400.944,1362.45,1372.736,1395.509,-22.773,-1.6319,1620271120.0,28485307447.5,2.45,3.37,70.34,61.76,6.08,33001640352.0,21046067650.0,15279989789.0,878856621056.0,533194883724.0
20140120.0,02399673,1383.619,1389.5834,1350.8451,1361.1994,1383.0439,-21.8445,-1.5795,330468389.0,9071751428.8,,,,,,,,,,
20140121.0,01000001,1992.015,2014.152,1992.015,2008.313,1991.253,17.06,0.8567,5984491100.0,52017917403.0,0.25,0.84,10.23,9.18,1.27,3245988558703.0,2364305966232.0,711112834671.0,17384468925893.0,12951191284282.0
20140121.0,01000020,801.271,812.603,801.271,812.483,801.433,11.05,1.3788,1411487400.0,13735226583.0,,,,,,,,,,
20140121.0,01000688,,,,,,,,,,,,,,,,,,,
20140121.0,01000852,4410.081,4486.869,4409.944,4486.869,4415.096,71.773,1.6256,4613309688.0,55570933763.0,,,,,,,,,,
20140121.0,01000905,3645.344,3700.594,3645.344,3700.108,3644.125,55.983,1.5363,2849780400.0,29215573162.0,0.84,1.46,30.61,27.74,2.26,417456775384.0,340841262067.0,195457632070.0,3557098386513.0,2775827891589.0
20140121.0,02399001,7528.786,7641.6,7528.786,7593.425,7524.328,69.097,0.9183,7427098183.0,95444337545.3,0.56,0.87,15.35,13.91,2.04,144493524504.0,111976295010.0,72232642047.0,1715589117070.0,1243647997204.0
20140121.0,02399005,4816.673,4880.792,4816.52,4873.892,4816.953,56.939,1.1821,3160553651.0,42669832382.5,1.19,2.24,29.9,28.5,3.66,87494651868.0,72029089536.0,38399639932.0,1452207580136.0,1103587375386.0
20140121.0,02399006,1370.686,1407.452,1370.686,1407.152,1372.736,34.416,2.5071,1758237830.0,32114008875.5,2.47,3.41,72.07,63.28,6.22,33002265352.0,21057150249.0,15284998529.0,900470638199.0,546351044304.0
20140121.0,02399673,1362.4351,1401.3586,1362.4351,1400.7852,1361.1994,39.5858,2.9082,354513429.0,9873350886.0,,,,,,,,,,
20140122.0,01000001,2009.969,2052.339,2008.93,2051.749,2008.313,43.436,2.1628,9889285600.0,84126659381.0,0.41,1.38,10.44,9.37,1.3,3246039021901.0,2364318054430.0,711112641469.0,17740385384113.0,13224648484069.0
20140122.0,01000020,812.947,831.782,812.37,831.743,812.483,19.26,2.3705,2038617000.0,20076862626.0,,,,,,,,,,
20140122.0,01000688,,,,,,,,,,,,,,,,,,,
20140122.0,01000852,4486.862,4584.079,4486.862,4584.079,4486.869,97.21,2.1665,6221644642.0,73264870585.0,,,,,,,,,,
20140122.0,01000905,3707.082,3799.057,3707.033,3799.042,3700.108,98.934,2.6738,4184904700.0,42102246756.0,1.23,2.14,31.41,28.44,2.32,417456775384.0,340841262067.0,195457632070.0,3652129668853.0,2849142040336.0
20140122.0,02399001,7612.189,7821.075,7597.441,7820.453,7593.425,227.028,2.9898,10369504011.0,129110439372.2,1.09,1.68,15.79,14.31,2.1,144493524504.0,111976295010.0,72232642047.0,1765181284255.0,1279720984695.0
20140122.0,02399005,4877.962,4985.267,4871.076,4985.267,4873.892,111.375,2.2851,4305214367.0,57522331604.3,1.68,3.15,30.56,29.12,3.74,87441546512.0,72005846532.0,38376851761.0,1483994467003.0,1128167560585.0
20140122.0,02399006,1407.464,1431.997,1407.464,1431.741,1407.152,24.589,1.7474,2080598548.0,39733312992.6,3.04,4.18,73.3,64.36,6.33,33002265352.0,21057150249.0,15300106386.0,915850012076.0,555362992896.0
20140122.0,02399673,1405.0593,1425.5228,1398.7336,1422.1471,1400.7852,21.3619,1.525,428814015.00000006,12107251877.0,,,,,,,,,,
20140123.0,01000001,2048.331,2052.528,2039.052,2042.18,2051.749,-9.569,-0.4664,8421058500.0,76083326567.0,0.35,1.17,10.38,9.33,1.29,3246039021901.0,2364318054430.0,711128266202.0,17643424517182.0,13154827889421.0
20140123.0,01000020,830.823,839.542,829.682,835.473,831.743,3.73,0.4485,1926828800.0,19847070583.0,,,,,,,,,,
20140123.0,01000688,,,,,,,,,,,,,,,,,,,
20140123.0,01000852,4581.143,4647.507,4576.68,4627.341,4584.079,43.262,0.9437,6060453663.0,75095120887.0,,,,,,,,,,
20140123.0,01000905,3801.749,3841.028,3795.475,3825.486,3799.042,26.444,0.6961,4070580200.0,44043320024.0,1.19,2.08,31.65,28.64,2.33,417456775384.0,340841262067.0,195454182070.0,3679579013266.0,2869473352509.0
20140123.0,02399001,7818.759,7855.229,7764.48,7788.471,7820.453,-31.982,-0.409,10079618530.0,133613446533.4,0.8,1.24,15.73,14.26,2.09,144493524504.0,111976295010.0,72232642047.0,1758795672579.0,1274686899527.0
20140123.0,02399005,4990.69,5042.04,4987.214,5020.456,4985.267,35.189,0.7059,4231710478.0,58537609225.9,1.66,3.11,30.8,29.35,3.77,87494651868.0,72036023249.0,38400372447.0,1495615247877.0,1137706814459.0
20140123.0,02399006,1433.701,1472.336,1433.171,1461.525,1431.741,29.784,2.0803,2279910565.0,44890752161.4,3.5,4.82,74.91,65.76,6.47,33002265352.0,21057905825.0,15302884478.0,935871519794.0,566676623506.0
20140123.0,02399673,1423.6919,1466.5204,1423.6919,1453.7757,1422.1471,31.6286,2.224,492825889.0,14656387677.0,,,,,,,,,,
20140124.0,01000001,2037.667,2060.986,2034.453,2054.392,2042.18,12.212,0.598,9294792100.0,82346176543.0,0.39,1.28,10.43,9.37,1.3,3246039021901.0,2364318054430.0,711128266202.0,17733449966035.0,13230171070564.0
20140124.0,01000020,834.741,848.557,833.584,848.271,835.473,12.798,1.5318,2195975500.0,21741657936.0,,,,,,,,,,
20140124.0,01000688,,,,,,,,,,,,,,,,,,,
20140124.0,01000852,4617.823,4705.325,4614.454,4695.287,4627.341,67.946,1.4684,6632720237.0,80308948939.0,,,,,,,,,,
20140124.0,01000905,3817.078,3890.528,3811.137,3882.668,3825.486,57.182,1.4948,4579074800.0,48820004180.0,1.34,2.34,31.95,29.04,2.37,417456775384.0,340841262067.0,195454182070.0,3735299741988.0,2913848360556.0
20140124.0,02399001,7771.58,7908.891,7760.2,7855.143,7788.471,66.672,0.856,10922949505.0,142489249659.0,0.94,1.46,15.86,14.33,2.11,144493524504.0,111976295010.0,72232642047.0,1773138400586.0,1283372103440.0
20140124.0,02399005,5022.138,5121.488,5019.181,5103.421,5020.456,82.965,1.6525,4528854861.0,63566961163.2,1.83,3.44,31.29,29.58,3.81,87494651868.0,72036023249.0,38400372447.0,1519689055064.0,1155732144755.0
20140124.0,02399006,1458.206,1493.637,1455.95,1484.432,1461.525,22.907,1.5673,2209332869.0,44243615433.700005,3.21,4.41,76.01,66.89,6.54,33026517693.0,21057905825.0,15302884478.0,949685829218.0,575204854398.0
20140124.0,02399673,1452.0444,1489.3657,1452.0444,1478.8622,1453.7757,25.0865,1.7256,427258783.0,12390576351.0,,,,,,,,,,
20140127.0,01000001,2044.272,2044.846,2029.626,2033.3,2054.392,-21.092,-1.0267,8881542600.0,81914219452.0,0.37,1.23,10.33,9.28,1.28,3248623693090.0,2367294378000.0,713868689842.0,17564673180742.0,13104150495879.0
20140127.0,01000020,845.718,852.468,841.642,845.841,848.271,-2.43,-0.2865,2034117800.0,21265678863.0,,,,,,,,,,
20140127.0,01000688,,,,,,,,,,,,,,,,,,,
20140127.0,01000852,4675.585,4725.97,4652.328,4682.053,4695.287,-13.234,-0.2819,6059270005.0,75541042109.0,,,,,,,,,,
20140127.0,01000905,3867.566,3916.666,3854.866,3881.947,3882.668,-0.721,-0.0186,4263680500.0,45982997025.0,1.25,2.18,31.91,28.98,2.36,417456749884.0,340841262067.0,195519682070.0,3731311554119.0,2911200171144.0
20140127.0,02399001,7810.234,7815.72,7723.601,7752.538,7855.143,-102.605,-1.3062,10990188351.0,135727294751.2,1.9,2.94,15.64,14.21,2.07,144493524504.0,111976295010.0,72232642047.0,1748662379903.0,1266690109242.0
20140127.0,02399005,5089.506,5133.832,5051.805,5082.949,5103.421,-20.472,-0.4011,4319930471.0,61372672628.700005,1.77,3.31,31.08,29.26,3.78,87494651868.0,72118628849.0,38489179245.0,1509628968722.0,1150451341359.0
20140127.0,02399006,1477.46,1500.457,1465.144,1477.669,1484.432,-6.763,-0.4556,2045062715.0,41782991361.8,3.33,4.6,75.74,66.71,6.51,33026517693.0,21122262075.0,15304099104.0,945650223819.0,574966395251.0
